unit_id,unit_name,region,period,pop_start,pop_end,births_est,deaths_est,natural_increase,net_migration,netmig_rate_per_1000_yr,flag
0331400000,City of Olongapo,Region III (Central Luzon),2020-2024,260317.0,264903.0,12345.8,7740.7,4605.2,-19.2,-0.02,
12063,South Cotabato,Region XII (SOCCSKSARGEN),2020-2024,975476.0,1010009.0,61852.8,29274.7,32578.1,1954.9,0.47,
08064,Southern Leyte,Region VIII (Eastern Visayas),2020-2024,429573.0,434372.0,18669.5,14979.2,3690.3,1108.7,0.62,
1380100000,City of Caloocan,National Capital Region (NCR),2020-2024,1661584.0,1712945.0,90177.0,44359.3,45817.6,5543.4,0.79,
06079,Guimaras,Region VI (Western Visayas),2020-2024,187842.0,192874.0,9972.2,5639.9,4332.3,699.7,0.88,
01028,Ilocos Norte,Region I (Ilocos Region),2020-2024,609588.0,618850.0,28284.5,21329.0,6955.5,2306.5,0.9,
04010,Batangas,Region IV-A (CALABARZON),2020-2024,2908494.0,2994795.0,158808.2,87204.6,71603.6,14697.4,1.19,
1731500000,City of Puerto Princesa ,MIMAROPA Region,2020-2024,307079.0,316384.0,14321.5,6905.7,7415.9,1889.1,1.45,
1380600000,City of Manila,National Capital Region (NCR),2020-2024,1846513.0,1902590.0,98917.3,55203.7,43713.6,12363.4,1.58,
1381100000,Pasay City,National Capital Region (NCR),2020-2024,440656.0,453186.0,20421.7,10944.2,9477.5,3052.5,1.64,
18045,Negros Occidental,Negros Island Region (NIR),2020-2024,2623172.0,2680477.0,121165.7,84190.1,36975.6,20329.4,1.84,
