period,name,change_type,new_code9,mother_or_old_name,old_code9,legal_basis,remarks,sheet,level
July - September 2019,"Barangay Cagbo-aya, Municipality of San Agustin, Romblon",Correction of name,1705911006,Cagbuaya,1705911006,Certification signed by Municipal Mayor dated 07 April 2022,,2001-present,barangay
July - September 2019,"Barangay Hinugusan, Municipality of San Agustin, Romblon",Correction of name,1705911013,Binugusan,1705911013,Certification signed by Municipal Mayor dated 07 April 2022,,2001-present,barangay
July - September 2019,"Barangay Camandag, Municipality of Looc, Romblon",Correction of name,1705907004,Camandao,1705907004,Certification signed by Municipal Mayor dated 11 April 2022,,2001-present,barangay
July - September 2019,"Barangay Manaquem, Municipality of Camiling, Tarlac",Correction of name,0306903028,Manakem,0306903028,Certification signed by Municipal Mayor dated 21 March 2022,,2001-present,barangay
July - September 2019,"Barangay Sta. Maria, Municipality of Camiling, Tarlac",Correction of name,0306903053,Santa Maria,0306903053,Certification signed by Municipal Mayor dated 21 March 2022,,2001-present,barangay
July - September 2019,"Barangay Palimbo Caarosipan, Municipality of Camiling, Tarlac",Correction of name,0306903036,Palimbo-Caarosipan,0306903036,Certification signed by Municipal Mayor dated 21 March 2022,,2001-present,barangay
July - September 2019,"Barangay Banaag ng Pag-asa, Municipality of Lubang, Occidental Mindoro",Correction of name,1705104012,Banaag At Pag-Asa,1705104012,Certification signed by Municipal Mayor dated 08 April 2022,,2001-present,barangay
July - September 2019,"Barangay Sorville, Municipality of Lubang, Occidental Mindoro",Correction of name,1705104009,Surville,1705104009,Certification signed by Municipal Mayor dated 08 April 2022,,2001-present,barangay
July - September 2019,"Barangay Almeida, Municipality of Balaoan, La Union",Correction of name,0103305028,Almieda,0103305028,Certification signed by Municipal Mayor dated 23 June 2022,,2001-present,barangay
July - September 2019,"Barangay Comod-om, Municipality of Alcantara, Romblon",Correction of name,1705901004,Camod-Om,1705901004,Certification signed by Municipal Mayor dated 02 December 2021,,2001-present,barangay
July - September 2019,"Maguindanao del Norte, BARMM",Division of province,1908700000,Maguindanao,1903800000,"RA 11550, plebiscite conducted on 17 September 2022",,2001-present,province
July - September 2019,"Maguindanao del Sur, BARMM",Division of province,1908800000,,,,,2001-present,province
July - September 2019,"City of Cotabato, Maguindanao del Norte",Change of code,1908703000,,1903804000,,,2001-present,city_muni
July - September 2019,"City of Calaca, Batangas",New city,0401007000,Municipality of Calaca,0401007000,"RA 11544, plebiscite conducted on 03 September 2022",,2001-present,city_muni
July - September 2019,"Barangay New Canaan, Alabel, Sarangani",Newly created barangay,1208001014,Bgy. Pag-asa,1208001008,"Provincial Ordinance No. 2009-6-044 dated 29 June 2009, plebiscite conducted in 20 August 2022",,2001-present,barangay
July - September 2019,"Barangay Acmac-Mariano Badelles Sr., City of Iligan",Correction of name,1030900038,Acmac,1030900038,RA 11902,,2001-present,barangay
July - September 2019,"Barangay Punong, Municipality of Tomas Oppus, Southern Leyte",Correction of name,0806418017,Ponong,0806418017,Municipal Resolution No. 69 Series of 2022 approved by Municipal Mayor,,2001-present,barangay
July - September 2019,"Barangay Bagongbong, Municipality of Lambunao, Iloilo",Correction of name,0603025005,Bogongbong,0603025005,Certification dated 10 January 2021 signed by Municipal Mayor,,2001-present,barangay
July - September 2019,"Barangay Anibongon, Municipality of Abuyog, Leyte",Correction of name,0803701002,Anibongan,0803701002,Certification dated 19 August 2022 signed by Municipal Mayor,,2001-present,barangay
July - September 2019,"Barangay Cawayan, Municipality of Alfonso Castaneda, Nueva Vizcaya",Correction of name,0205015003,Cauayan,0205015003,Certification dated 03 August 2022 signed by Municipal Mayor,,2001-present,barangay
July - September 2019,"Barangay Ammoweg, Municipality of Ambaguio, Nueva Vizcaya",Correction of name,0205001001,Ammueg,0205001001,Certification dated 26 July 2022 signed by Municipal Mayor,,2001-present,barangay
