"Geolocation","Place of Occurrence Both Sexes","Place of Occurrence Male","Place of Occurrence Female","Usual Residence Both Sexes","Usual Residence Male","Usual Residence Female"
"......Nagcarlan",537,290,247,809,447,362
"......Paete",32,17,15,342,177,165
"......Pagsanjan",275,148,127,569,294,275
"......Pakil",1274,695,579,296,137,159
"......Pangil",212,104,108,355,191,164
"......Pila",312,169,143,753,405,348
"......Rizal",14,8,6,186,101,85
"......City of San Pablo",5047,2576,2471,3786,1916,1870
"......City of San Pedro",2923,1574,1349,4012,2149,1863
"......Santa Cruz (Capital)",5204,2769,2435,1744,906,838
"......Santa Maria",130,61,69,404,216,188
"......City of Santa Rosa",4463,2256,2207,5047,2581,2466
"......Siniloan",87,44,43,515,291,224
"......Victoria",178,95,83,561,315,246
"....QUEZON",22231,11630,10601,27480,14370,13110
"......Agdangan",33,17,16,143,76,67
"......Alabat",424,226,198,202,119,83
"......Atimonan",646,342,304,810,426,384
"......Buenavista",215,110,105,486,265,221
"......Burdeos",238,128,110,337,175,162
"......Calauag",242,124,118,887,450,437
"......Candelaria",2689,1376,1313,2073,1062,1011
"......Catanauan",1155,593,562,1084,561,523
"......Dolores",236,116,120,431,219,212
"......General Luna",188,96,92,329,154,175
"......General Nakar",162,85,77,469,262,207
"......Guinayangan",341,173,168,569,284,285
"......Gumaca",1839,962,877,928,487,441
"......Infanta",1462,770,692,1124,573,551
"......Jomalig",90,53,37,121,69,52
"......Lopez",2603,1361,1242,1331,711,620
"......Lucban",351,194,157,700,360,340
"......Macalelon",189,91,98,369,192,177
"......Mauban",862,465,397,1091,586,505
"......Mulanay",473,264,209,806,432,374
"......Padre Burgos",80,42,38,253,127,126
"......Pagbilao",348,176,172,974,495,479
"......Panukulan",91,59,32,230,124,106
"......Patnanungan",154,79,75,187,97,90
"......Perez",13,9,4,184,99,85
"......Pitogo",24,15,9,288,161,127
"......Plaridel",4,3,1,134,77,57
"......Polillo",496,246,250,493,251,242
"......Quezon",20,10,10,215,102,113
"......Real",354,173,181,659,341,318
"......Sampaloc",64,30,34,153,78,75
"......San Andres",330,178,152,466,251,215
"......San Antonio",274,130,144,463,231,232
"......San Francisco (Aurora)",802,425,377,894,475,419
"......San Narciso",901,484,417,933,487,446
"......Sariaya",1423,747,676,2470,1287,1183
"......Tagkawayan",493,266,227,743,380,363
"......City of Tayabas",949,499,450,1566,845,721
"......Tiaong",660,342,318,1558,812,746
"......Unisan",313,171,142,327,187,140
"....RIZAL",39940,20721,19219,45096,23424,21672
"......Angono",2315,1172,1143,1804,930,874
"......City of Antipolo (Capital)",13830,7158,6672,13464,6965,6499
"......Baras",318,164,154,1193,596,597
"......Binangonan",3581,1861,1720,3985,2088,1897
"......Cainta",2046,1064,982,4433,2284,2149
"......Cardona",343,171,172,649,334,315
"......Jala-Jala",139,75,64,458,241,217
"......Morong",3033,1584,1449,960,488,472
"......Pililla",475,248,227,996,525,471
"......Rodriguez (Montalban)",5606,2937,2669,5607,2916,2691
"......San Mateo",2360,1207,1153,3260,1677,1583
"......Tanay",851,453,398,2086,1101,985
"......Taytay",4005,2088,1917,5176,2736,2440
